S5-CLM-00003486	Arxiv.«0912.2382».curling_number_conjecture	The sequence will eventually reach $1$.	(S₀ : List ℤ) (h : S₀ ≠ []) : ∃ m, k (S S₀ m) = 1
S5-CLM-00006226	Under GRH and simple zeros, the character-averaged negative second moment has the stated asymptotic.		
S5-CLM-00006227	An immersion of a four-manifold with sufficiently small normal curvature is conformal to a positive bi-Ricci metric.		
S5-CLM-00006228	Under sufficiently large displacement, every n-generated group-ring ideal has a free resolution of length rank minus one.		
S5-CLM-00006229	The future Lorentz-distance family to positive-time Cauchy slices is locally equi-Lipschitz.		
S5-CLM-00006230	Infinitely many hyperbolic rational homology three-spheres have first coexact one-form eigenvalue greater than two.		
S5-CLM-00006231	For every a>1/2, the Robin Morse index is two in mode |k|=0 and zero in all modes |k|>=2.		
S5-CLM-00006232	MBQC is efficiently classically simulable on every proper vertex-minor-closed graph class.		
S5-CLM-00006233	On every vertex-nonamenable graph, simple random walk has a positive linear range constant.		
S5-CLM-00006234	Antipodal two-colorings of a hypercube have the stated monochromatic or one-switch antipodal paths and geodesics.		
S5-CLM-00006235	For all n and s, the nonuniform matching extremal number equals the maximum size among the four displayed construction families.		
S5-CLM-00006236	For fixed k>=4 and L>k, sufficiently large n-vertex graphs with circumference at most L maximize C_k copies at H(n,L).		
S5-CLM-00006237	For positive integers a,b,c, ax^2+by^2=cz^2 is partition regular exactly when c is a, b, or a+b.		
S5-CLM-00006238	For some ε>0 and infinitely many orders n, a connected vertex-transitive digraph has perimeter gap at least εn.		
S5-CLM-00006239	For every k, sufficiently large minimum out-degree forces k vertex-disjoint directed cycles of pairwise distinct lengths.		
S5-CLM-00006240	Every transitive subgroup G of S_n has diameter polynomially bounded in n.		
S5-CLM-00006241	A finite-index noncritical-at-infinity Allen-Cahn solution in R^3 has finitely many far-out level-set components, each asymptotic to a plane or catenoid and graphical in a common direction.		
S5-CLM-00006242	There exists a finitely generated group whose reduced C*-algebra is C*-selfless but not exact.		
S5-CLM-00006243	No non-CM elliptic curve over Q has a p-coincidence for any prime p>=5.		
S5-CLM-00006244	For all relevant n,p,q, the recursively defined group J_n^{p,q} equals the automata transformation group K_n^{p,q}.		
S5-CLM-00006245	Every invariant measure on the uncountable structure space is a mixture of ergodic invariant measures.		
S5-CLM-00006246	The expected heat trace of a quantum disc has the stated area leading term and a negative t^(−1/2+o(1)) correction.		
S5-CLM-00006247	Every symmetric convex region in R^d has maximal sum-free density at most one half.		
S5-CLM-00006248	The essential image of the q-monodromic Shv(G)-module composition is exactly the objects whose underlying AGCat object comes from DGCat.		
S5-CLM-00006249	The normalized minimum size s(n)/(n log n) for universal graphs for trees has a limit.		
S5-CLM-00006250	A smooth submanifold nondegenerate inside a Hypothesis-D affine subspace has convergent-Gallagher induced Lebesgue measure.		
S5-CLM-00006251	For G(n,1/2), the expected Lovász theta value is asymptotic to sqrt(n).		
S5-CLM-00006252	The expected injective norm of an iid mean-zero random tensor is comparable, up to an order-dependent constant, to the largest expected maximum fiber l2 norm.		
S5-CLM-00006253	For all sufficiently large m, consecutive Ruzsa numbers differ in absolute value by at most one.		
S5-CLM-00006254	A finite set of minimal-Lagrangian area values determines a Kähler–Einstein metric on Σ×Σ up to an identity-homotopic isometry.		
S5-CLM-00006255	Interval translation maps on r intervals corresponding to irrational circle rotations form a full-measure subset of ITM(r).		
S5-CLM-00006256	The dual tropical object L_p^vee equals Q_p.		
S5-CLM-00006257	Every field representation of a 3-connected elementary lift of a frame matroid is projectively equivalent to the incidence representation coming from an affine-group gain function realizing the biased graph.		
S5-CLM-00006258	Every smooth stable presentable category linear over an E-infinity ring spectrum has a single compact generator.		
S5-CLM-00006259	A partition has Conway pair (0,1) exactly when it is an even-by-even hook.		
S5-CLM-00006260	A triangulation of an n-manifold is tight if and only if it is strongly minimal.		
S5-CLM-00006261	The toric ideal of every matroid base polytope is generated in degree two.		
S5-CLM-00006262	The stated Andrade-Keating asymptotic evaluates averaged ratios of quadratic Dirichlet L-functions over the function-field family by the signed-shift Euler-product expression with o(|D|) error.		
S5-CLM-00006263	The sum over zeta zeros 0<gamma<T of 1/|zeta'(rho)| is O(T sqrt(log T)).		
S5-CLM-00006264	Every composite n with phi(n+12)=phi(n)+12 and sigma(n+12)=sigma(n)+12 equals p(p+8) for a prime quadruplet p,p+2,p+6,p+8.		
S5-CLM-00006265	For every infection rule H, log M_H(n)/log n has a limit as n tends to infinity.		
S5-CLM-00006266	Large 2-modular witnesses contain exact-size 4-modular witnesses, and more generally large q-modular witnesses admit the stated polynomial-cost lift to 2q.		
S5-CLM-00006267	Every k-uniform hypergraph of minimum codegree at least n/k has a spanning tight component.		
S5-CLM-00006268	Every weighted graph excluding a fixed d-fat minor has a balanced separator coverable by O(sqrt(n)) bounded-radius balls.		
S5-CLM-00006269	Every graph of maximum degree Delta has an equitable tree k-coloring for k>=(Delta+1)/2.		
S5-CLM-00006270	The transform of the semistable structure sheaf is isomorphic to the shriek-pushforward of the structure sheaf in the stated category.		
S5-CLM-00006271	The two discrete line ensembles converge uniformly on compact sets to the Airy line ensemble.		
S5-CLM-00006272	Every noncomplete K4-free graph satisfies lambda_1^2+lambda_2^2<=4m/3.		
S5-CLM-00006273	The only regular cycle-conformal braces are complete bipartite graphs K_{ell,ell}.		
S5-CLM-00006274	The (d+2)-chromatic transition in the random Borsuk graph occurs at c(d)(log n/n)^(1/d).		
S5-CLM-00006275	Every connected graph has equitable chromatic number at most its maximum degree, apart from the stated complete, odd-cycle, and balanced complete-bipartite exceptions.		
S5-CLM-00006276	Minimum out-degree r forces r directed cycles, each meeting all earlier cycles in at most one vertex.		
S5-CLM-00006277	Every intersecting k-uniform family with n greater than 10k has at most the stated number of distinct symmetric differences.		
S5-CLM-00006278	Every nonidentity permutation pattern is inversion monotone.		
S5-CLM-00006279	The root-counting measures of high-order Heun spectral polynomials converge to a positive measure depending only on Q_k.		
S5-CLM-00006280	Every relatively categorical theory has the Gaifman property.		
S5-CLM-00006281	For every finite group G and fixed positive genus number t, fields in the specified family admitting an abelian tower and having genus number t have density zero.		
S5-CLM-00006282	Every directed graph of minimum out-degree k ell and every oriented graph of minimum out-degree k ell/2 contains a (k,ell)-spider.		
S5-CLM-00006283	For any smooth manifold homeomorphic to K3#K3#(S^2xS^2), deleting a small 4-ball leaves a manifold with a nontrivial boundary Dehn twist.		
S5-CLM-00006284	The log Gromov-Witten generating vector for the mirror of P^2 is a depth-r mock modular form of weight -3/2.		
S5-CLM-00006285	For s growing faster than log n, the rainbow-connectivity game bias is asymptotic to sn/log n.		
S5-CLM-00006286	A simple lifted modular geodesic has a rational, quadratic, or transcendental endpoint.		
S5-CLM-00006287	No closed symplectically aspherical manifold admits a positive-scalar-curvature metric.		
S5-CLM-00006288	The shifted signed stable CSM Schur coefficient polynomials have nonnegative binomial-basis coefficients whose nonzero sequence is log-concave.		
S5-CLM-00006289	For every graph H, every rational between v(H)-e(H)/Delta(H) and v(H) is realizable for H.		
S5-CLM-00006290	Every connected n-vertex graph has both-sign 2-energy minimum at least n-1.		
S5-CLM-00006291	The graphical cycle polynomial of every chordal graph has only real roots.		
S5-CLM-00006292	The stated expression bounds the total number of cliques in every K_(ell+1)-free r-graph, with the specified multipartite hypergraph as the unique divisible extremizer.		
S5-CLM-00006293	The multiplicative group of a noncommutative division ring has no nilpotent maximal subgroup.		
S5-CLM-00006294	The 2-core of the sparse random graph's giant component is asymptotically determined by its spectrum.		
S5-CLM-00006295	Under the stated smallness conditions, every inertial Winfree solution exhibits oscillator death.		
S5-CLM-00006296	If no line contains more than (1/2-delta)n points of a noncollinear two-colored n-point set, then it determines at least epsilon n^2 monochromatic lines for some epsilon(delta)>0.		
S5-CLM-00006297	For every d and 3<=k<=d+1, chromatic number greater than k has a sharp threshold in the random Borsuk graph.		
S5-CLM-00006298	The stated Ramsey-function bound controls chi for complement-mK_s-free graphs in every chi-bounded class.		
S5-CLM-00006299	Some integer m makes every planar graph (5m-1,m)-choosable.		
S5-CLM-00006300	Above the critical coupling, every solution of the inertial Winfree model exhibits oscillator death for every initial condition and positive inertia.		
S5-CLM-00006301	Imposing equivariance under the full group cannot increase the minimum fiber dimension relative to a data subgroup.		
S5-CLM-00006302	Every graph excluding a fixed 3-fat minor has a bounded-diameter connected partition with bounded local cluster overlap.		
S5-CLM-00006303	The Frobenius-Perron dimension of the stated G2 category equals the displayed trigonometric formula.		
S5-CLM-00006304	Sums of k dth roots achieve the stated uniform inhomogeneous approximation exponent on the circle.		
S5-CLM-00006305	For large p in P_3, a positive proportion of prime divisors of Phi_{4p}(2) are congruent to 1 modulo 16.		
S5-CLM-00006306	For a general smooth member of every irreducible real equiclassical family, the associated class line bundle is nonspecial, equivalently the stated cohomology group vanishes and the focal map has maximal rank.		
S5-CLM-00006307	As opposite labels coalesce in the stated topological Yang-Mills-Higgs problem, matter energy diverges under full back-reaction and curvature obeys the stated dimension-dependent four- and two-dimensional asymptotics.		
S5-CLM-00006308	Every connected graph-bootstrap rule with sublinear growth has either constant or logarithmic growth.		
S5-CLM-00006309	Adjacent partition triples admit hook correspondences that carry the two Jack Littlewood-Richardson expressions to each other modulo the common hook.		
S5-CLM-00006310	For every p>=2, the negative p-energy of any connected n-vertex graph is at least that of K_n.		
S5-CLM-00006311	Properly edge-colored Dirac graphs contain bounded-degree spanning trees using cn-o(n) colors.		
S5-CLM-00006312	The normalized-volume spectrum of compact right-angled polyhedra has the proposed sharp interval bounds.		
S5-CLM-00006313	When L_N/N tends to tau and the loss is 1/N, the empirical spectral distribution of B_{L_N}^*B_{L_N} converges in probability to the free small-loss measure mu_tau.		
S5-CLM-00006314	The normalized-volume minimizer of every symplectic singularity is divisorial.		
S5-CLM-00006315	For p>2, every G-group P has a G-central series beginning at gamma_2^G(P) whose successive indices satisfy the stated M^G(P)-dependent bounds.		
S5-CLM-00006316	The stated Lagrangian correspondence quantizes to the BV-BFV bimodule and its induced map equals the Reshetikhin-Turaev map.		
S5-CLM-00006317	Even cohomology of Mbar_{g,n} through degree 20 is tautological.		
S5-CLM-00006318	Polynomial simulation of the consistency statement is equivalent to provability in EA plus Con_S.		
S5-CLM-00006319	If the first dynamical degree grows like n^k, then polynomial volume growth is at least d+k(k+2)/4.		
S5-CLM-00006320	The Hasse-Witt invariant is the degree-(p-1) period truncation up to sign, and its normalized mirror-map expression is p-integral and congruent to one modulo p.		
S5-CLM-00006321	For every m, excluding the complement of m disjoint edges makes every chi-bounded class linearly chi-bounded.		
S5-CLM-00006322	Every sufficiently large x has, in a fixed-power polylogarithmic left neighborhood, an integer with omega(n) at least C log_2(n)/log_3(n), for each positive C.		
S5-CLM-00006323	For each of the four exceptional compact surfaces listed, every finitely generated periodic homeomorphism subgroup is finite.		
S5-CLM-00006324	Every automorphism of the power semigroup of a cancellative monoid preserves the singleton-generated subsemigroup.		
S5-CLM-00006325	The stated twists of X_(1,0)(N,MN) solve the moduli problem for elliptic curves with prescribed torsion and intrinsic subgroup over every field.		
S5-CLM-00006326	The Paley equiangular tight frame satisfies the restricted isometry property beyond the square-root bottleneck.		
S5-CLM-00006327	For every p at least 2, the sum of two copies of the closed eta(T_p) set has empty interior.		
S5-CLM-00006328	The Unpin_AVOID problem is PSPACE-complete in every stated case, including its simple variant for at least four strands.		
S5-CLM-00006329	The width omega(A) of every full-spark (2M-1)-by-M real matrix decays exponentially in M relative to its largest row norm.		
S5-CLM-00006330	Every admissible shifted Plücker coefficient sequence is nonnegative and log-concave.		
S5-CLM-00006331	Integer programs with fixed totally Delta-modular constraint matrices are polynomial-time solvable.		
S5-CLM-00006332	Every diameter-two product-maximizing n-gon has the conjectured odd regularity or even symmetry and diameter-graph structure.		
S5-CLM-00006333	Above the stated p threshold, a randomly perturbed dn-regular graph with d greater than one half has a triangle packing covering all but o(n^2) edges with high probability.		
S5-CLM-00006334	For each prime p not dividing N, a weighted homogeneous degree-(p-1) polynomial controls the Cartier action and has q-expansion congruent to 1 modulo p.		
S5-CLM-00006335	Under the N_1 embedding hypothesis, the naive atomic decomposition of a blowup is the sorted concatenation of those of X and c-1 copies of that of Z.		
S5-CLM-00006336	The threshold bias for the rainbow spanning-tree Maker-Breaker game is asymptotic to n^2/log n.		
S5-CLM-00006337	Every Lagrangian fibration has the stated multiplicative decomposition, with its tangent-bundle Chern classes lying in the prescribed summands.		
S5-CLM-00006338	There exists an MRD code of the stated rectangular parameters whose one-row puncturing embeds in an MRD code of the stated square parameters.		
S5-CLM-00006339	Two tame tangles have the same tangle type exactly when common-dimension mosaics are related by mosaic Reidemeister moves.		
S5-CLM-00006340	For every bipartite infection graph H, the maximum bootstrap-percolation time is little-o of ex(n,H).		
S5-CLM-00006341	An expanding integer toral endomorphism has a linear Markov partition exactly when some matrix power is diagonalizable with integer eigenvalues.		
S5-CLM-00006342	For every alternating permutation w, w is below f_n(w) in Bruhat order.		
S5-CLM-00006343	Every Jack Littlewood-Richardson rule on a triple extends to a window rule by fixed outside hooks and the same inside rule.		
S5-CLM-00006344	Under the listed hypotheses the adjusted coarse map induces all asserted end-homotopy isomorphisms, and an additional isomorphism on ends yields a coarse homotopy equivalence.		
S5-CLM-00006345	Every polynomial-dimensional circuit dynamical Lie algebra admits a representation in which the stated simulation preprocessing is polynomial-resource.		
S5-CLM-00006346	For all sufficiently large k in the stated 3-smooth semigroup, no prime r simultaneously has ord_r(2)=4k and a semigroup-friable quotient (r-1)/(4k).		
S5-CLM-00006347	Every bounded-treewidth graph class is rainbow separable.		
S5-CLM-00006348	The reversed-opening frayed weave's flag moduli equal the intersection of cluster tori along the maximal green sequence.		
S5-CLM-00006349	Every connected k-uniform n-vertex hypergraph has cop number O(sqrt(n/k)).		
S5-CLM-00006350	Every cycle-conformal brace is a complete bipartite graph.		
S5-CLM-00006351	The GKP row-generating polynomials are coefficientwise Hankel-totally positive in all seven variables.		
S5-CLM-00006352	Adjacent triples of partitions related by one pivot have Jack Littlewood-Richardson coefficients congruent modulo the common hook.		
S5-CLM-00006353	For every fixed orientable surface Sigma, SimplePin(Sigma,4) is NP-complete.		
S5-CLM-00006354	The rainbow perfect-matching Maker-Breaker bias threshold is asymptotic to n^2 divided by 2 log n.		
S5-CLM-00006355	All Kazhdan-Lusztig immanants of ribbon decomposition matrices are Schur positive.		
S5-CLM-00006356	Pointwise-isomorphic smooth families with constant infinitesimal automorphism dimension are generically locally isomorphic.		
S5-CLM-00006357	Every claw-free perfect graph has list-chromatic number equal to its chromatic number.		
S5-CLM-00006358	There is an absolute constant c such that the no-isolated-matching threshold delta_k(n) stays within c of n/k for every k and n.		
S5-CLM-00006359	Under the stated weaker endpoint hypotheses on psi, the selected BBM velocity has the standard square-root-two limit and pi-squared logarithmic correction.		
S5-CLM-00006360	Every digraph either half-integrally packs k directed cycles of distinct lengths or has a bounded vertex deletion leaving only boundedly many cycle lengths.		
S5-CLM-00006361	For each k, only finitely many prime critically k-frustrated signed graphs exist.		
S5-CLM-00006362	Each color threshold of the random Borsuk graph occurs at a distinct constant multiple of n^(-1/d), with the stated zero-one law.		
S5-CLM-00006363	Equivariant Chern-Mather coefficients of symmetric-subgroup orbit closures are positive sums in simple roots.		
S5-CLM-00006364	For every n>=3, a pencil of two independent real GOE_n matrices has branch points uniformly distributed on CP^1.		
S5-CLM-00006365	There is a continuous pairing between cusp and open geodesic currents extending geometric intersection of the corresponding curves.		
S5-CLM-00006366	For every place x, the spectral support of the O-piece of compactly supported discrete automorphic functions is contained in R_{q_x,O}.		
S5-CLM-00006367	For a quantum disc, log K(t)/log t converges in probability to 1/2.		
S5-CLM-00006368	For every n, the complex Banach–Mazur distance between l1^n and l∞^n equals √n.		
S5-CLM-00006369	For every n-vertex graph, every k>=2, and every negative real x, the k-th derivative of log((-1)^n P(G,x)) is negative.		
S5-CLM-00006370	For a general tensor of the stated format, the span of its singular vector tuples equals the critical hyperplane except in exactly three listed formats, with the stated codimension there.		
S5-CLM-00006371	For generic Q_k, the limiting spectral support is the union of admissible Stokes-period arcs.		
S5-CLM-00006372	Under GRH and simple zeros, the weighted character-family second moment has the stated asymptotic.		
S5-CLM-00006373	The ELX conjecture gives an exact Hermitian-variety intersection maximum and characterizes its extremal hypersurfaces.		
S5-CLM-00006374	Every n pairwise-intersecting bi-infinite x-monotone k-intersecting curves admit O_k(n) tangencies.		
S5-CLM-00006375	Among connected n^d-point induced subgraphs of the d-dimensional lattice, the n-by-...-by-n box maximizes spanning-tree count, uniquely up to lattice symmetries.		
S5-CLM-00006376	For every positive N and j=0,...,N, the spectral-parameter operators X_j^(N)(z) commute with X_j^(N)(w).		
S5-CLM-00006377	A random generic structure obtained from an invariant measure on the stated Fraisse limit is rigid.		
S5-CLM-00006378	Infinitely many n satisfy the stated uniform upper bounds for both omega(n-k) and Omega(n-k) over the indicated ranges of k.		
S5-CLM-00006379	The minimum circumference functions for vertex-transitive graphs and digraphs have the same asymptotic order.		
S5-CLM-00006380	Below the stated density threshold, the chromatic number of the random Borsuk graph is asymptotically concentrated on two consecutive integers.		
S5-CLM-00006381	For log-concavity index quadruples, both the A-module and C-module tensor products admit the displayed FI-sharp module inclusions.		
S5-CLM-00006382	The maximum number of K_{t,t} copies in an n-vertex K_{2,t+1}-free graph is asymptotic to n²/[2t(t−1)].		
S5-CLM-00006383	The Weil-invariant cuspidal subspace indexed by O equals the corresponding full cuspidal O-piece.		
S5-CLM-00006384	The Weil subspace inclusion into each l-adic cuspidal orbit piece is an isomorphism.		
S5-CLM-00006385	For every d at least 2 and k at least 1, suitable weighted shifted d-th roots admit cancellation through order dk-1, yielding g_{k,d}(N) of order at most N^{-(k-1/d)}.		
S5-CLM-00006386	Degree-4 Sum-of-Squares bounds the Paley graph clique number by O(p^(1/2-epsilon)) for some positive epsilon.		
S5-CLM-00006387	The tempered, equivalently nondegenerate, compactly supported automorphic subspace is defined over the rationals.		
S5-CLM-00006388	The sum of two copies of the closure of eta(T_2) has Lebesgue measure zero.		
S5-CLM-00006389	The selected branching Brownian motion has leading speed √(2(1−δ)) and a negative c/(log N)^2 correction under the stated selection-floor assumptions.		
S5-CLM-00006390	On the SU(2,2)~SO(4,2) Shimura variety, the orthogonal codimension-two special-cycle series is the Saito-Kurokawa lift of the unitary series.		
S5-CLM-00006391	When m=1 or l is undivisible, the Frobenius–Perron dimension of C(g,e,l,q) equals |Q| times the displayed product.		
S5-CLM-00006392	A threshold k1 separates the two displayed asymptotic formulas for the rainbow r-uniform Turán quantity.		
S5-CLM-00006393	For isolated singular central fiber and n greater than one, the analytic-torsion coefficient is independent of H and m and satisfies the stated kernel-dimension formula.		
S5-CLM-00006394	Among connected n-vertex graphs, the path minimizes positive p-energy for every integer p at least two.		
S5-CLM-00006395	Every Eulerian graph has strong-majority edge chromatic number at most three.		
S5-CLM-00006396	The higher Courant algebra Cour_{n-1}(H) is canonically equivalent to the stated symmetry L-infinity algebra.		
S5-CLM-00006397	The projection volume of B_q^m is at most 2^n times that of its positive-orthant cap, with equality exactly for subspaces having the stated disjoint-support positive basis.		
S5-CLM-00006398	For every r>=5, the maximum M(r) is attained by the boundary run N_r(r-1).		
S5-CLM-00006399	For every infection rule H, the unrestricted and percolating-start maximum running times M_H(n) and M'_H(n) have the same asymptotic order.		
S5-CLM-00006400	The l-adic cuspidal filtration intersection equals the sum of pieces indexed by nilpotent orbits in Y.		
S5-CLM-00006401	The rational cuspidal filtration intersection equals the sum of pieces indexed by nilpotent orbits in Y.		
S5-CLM-00006402	The excursion-algebra action on automorphic objects is compatible with rational structures.		
S5-CLM-00006403	For n≥5, K(n,p,q) maximizes λ1+λ2 among n-vertex graphs, with equality only for that graph.		
S5-CLM-00006404	The reciprocals of the zeros of the Hua–Pickrell entire-function diffusion solve the displayed infinite-dimensional stochastic differential equation.		
S5-CLM-00006405	Applying the stacking operation to a losing partition in the stated circumstances produces a P-position.		
S5-CLM-00006406	m(n) is asymptotic to four thirds times n^(3/2) divided by log n.		
S5-CLM-00006407	The holonomic singular locus of a regular rational polypol is contained in the listed hyperplanes and projective duals, and for generic boundary all listed components occur.		
S5-CLM-00006408	Except for two listed parameter tuples, the stated monomial almost complete intersection fails WLP exactly under the given parity and equality conditions.		
S5-CLM-00006409	The stated small-normal-curvature immersion condition forces the induced metric to be conformal to one whose four Ricci eigenvalues satisfy the strict three-versus-one inequality.		
S5-CLM-00006410	The map alpha_T has the stated maximal rank for a general tensor.		
S5-CLM-00006411	The r-th sequential topological complexity of S^3/Q_{8m} equals 3r.		
S5-CLM-00006412	Every properly edge-colored n-vertex graph of minimum degree at least cn, for c>1/2, contains at least n/8 Hamilton cycles each using at least cn-o(n) colors.		
S5-CLM-00006413	For every Master-Hit, the canonical integer xi^2+eta^2 is never a square.		
S5-CLM-00006414	Every graph class of bounded merge-width also has bounded short merge-width.		
S5-CLM-00006415	For every almost-basic set U, all positive-degree cohomology groups H^k(U,LIP) vanish.		
S5-CLM-00006416	The Hartshorne-Rao module of a general union of r skew lines in P^3 has the strong Lefschetz property.		
S5-CLM-00006417	The multivariate period module D_B(V) is finitely presented.		
S5-CLM-00006418	The proposed AMP iterates converge to the stated fixed-point state evolution and vector equilibrium with the asserted limiting distribution.		
S5-CLM-00006419	The image eta(D_q) contains no nonintegral algebraic numbers.		
S5-CLM-00006420	Every two-prime Delta-primitive number is either 24 or 40.		
S5-CLM-00006421	Almost every finite-depth, finite-width local Floquet circuit lacks a complete exponentially localized set of conserved quantities.		
S5-CLM-00006422	The matroid class associated with a Frobenius group, its kernel, and its complements has a sequence of universal models.		
S5-CLM-00006423	For every delta>=1 and q>=3, the extremal q-kernel constant is 1/(delta+1).		
S5-CLM-00006424	For r cross-intersecting families with every bias at most (r-1)/r, the product of their biased measures is at most the product of the biases.		
S5-CLM-00006425	For each of the two specified rank-2-attractor parameters, the four-dimensional etale representation is the restricted direct sum of the stated weight-four and twisted weight-two modular representations.		
S5-CLM-00006426	The probability of the centered subset sum being nonnegative satisfies the stated hypergeometric lower bound for every admissible n, k, and weight vector.		
S5-CLM-00006427	For all sufficiently large orders, the path uniquely minimizes spectral sum among connected graphs.		
S5-CLM-00006428	The Liouville density obeys the stated mixed-norm Strichartz estimate when a'=dp, b=dp/(d+1), and p>(d+1)/d.		
S5-CLM-00006429	Every height from 1 through M(p) occurs as A(pqr) for arbitrarily large primes q and r.		
S5-CLM-00006430	Every sufficiently large short interval of the stated length contains an integer with many distinct prime factors.		
S5-CLM-00006431	Each relevant matroid-flat hypersurface factor occurs in E_L with its local multiplicity.		
S5-CLM-00006432	For D_d at least 2, the stringy motive of the corresponding linear Z/p quotient equals that of the linear alpha_p quotient.		
S5-CLM-00006433	For every q>0, the pulled-back L2 metric on the stated higher direct image is good in Mumford's sense.		
S5-CLM-00006434	No stationary online inference-caching algorithm has worst-case acquisition cost little-o of 2^H log N expert creations.		
S5-CLM-00006435	Any generalized crossing change that preserves a knot type must occur at a nugatory crossing.		
S5-CLM-00006436	All q-Fibonomial polynomials [m+n choose n] are unimodal.		
S5-CLM-00006437	For every positive multiple k of 3, D(k,Z^2) is strictly less than 1-2/k.		
S5-CLM-00006438	A finite integer set with Littlewood norm O(log N) has dimension O((log N)^2).		
S5-CLM-00006439	Every automorphism of both P(Z) and its reduced large power monoid P0(Z) is inner.		
S5-CLM-00006440	Under either displayed small-time or small-budget condition, every budget-constrained strategy asymptotically almost surely fails to create K5.		
S5-CLM-00006441	The Almost-Golomb thresholds satisfy j_(k+1)-j_k=G(k), equivalently j_k=S(k-1)+2, for all k at least 4.		
S5-CLM-00006442	For every infection graph H with at least three edges, the maximum percolation time is bounded by the minimum extremal number of H-e.		
S5-CLM-00006443	Among the stated periodic lattice quotients with n^d vertex orbits, the standard product torus uniquely maximizes the spanning-tree count.		
S5-CLM-00006444	The global coefficients a^M(S_N,O_gamma) grow at most polylogarithmically in N.		
S5-CLM-00006445	The Frankl-Kupavskii formula gives e((m+1)s-ell,s)=|P(m,s,ell)| in the stated parameter range.		
S5-CLM-00006446	The cohomology ring of the pure symmetric automorphism group has the stated degree-one generators and defining relations.		
S5-CLM-00006447	M(n) is asymptotic to one sixth times n cubed divided by log n.		
S5-CLM-00006448	For every n at least two, the discrete-gradient-matching complexes of the n-simplex and its boundary are homotopy equivalent.		
S5-CLM-00006449	A cycle avalanche complex whose binary zero set is one residue class modulo k is homotopy equivalent to S^(k-2).		
S5-CLM-00006450	For every surface, SimplePin with four strands is NP-complete.		
S5-CLM-00006451	The exterior Cauchy transform of the unique oval of a nonsingular even-degree real plane curve is not algebraic.		
S5-CLM-00006452	The average analytic rank over positive square-free twists C_d in the stated family is 1/4.		
S5-CLM-00006453	A general union of s flat fat points of multiplicity m in P^2 has the generic Hilbert function whenever m>=4 and s>=2m-3.		
S5-CLM-00006454	Adding a pendant vertex to any connected H makes the maximum running time either bounded or of the same order as for H.		
S5-CLM-00006455	Every Master-Hit has a prime divisor of f_1 occurring to exponent one and coprime to every member of its obstruction set.		
S5-CLM-00006456	Sun's two stated congruence classes of integers admit the corresponding representations by two squares and a square of a 2-3 or 2-5 smooth number.		
S5-CLM-00006457	Every graph of average degree at most d has both median eigenvalues bounded in absolute value by sqrt(d-1).		
S5-CLM-00006458	Under the stated complementary even-weight ordering and dimension bound, the chosen odd periods, equivalently the corresponding Eisenstein-product differences, are linearly independent.		
S5-CLM-00006459	Under the stated weight ordering and dimension bound, the selected even periods, equivalently the associated Rankin–Cohen brackets, are linearly independent.		
S5-CLM-00006460	Every Eulerian graph is k-flow-connected for k at least four and A-flow-connected for every abelian group A of order at least four.		
S5-CLM-00006461	Every admissible pair of Schoenberg parameter sequences is realized as the Toeplitz limit of positive partial-flag points.		
S5-CLM-00006462	Every K5-minor-free graph with a correspondence 6-cover has six disjoint correspondence colorings.		
S5-CLM-00006463	If the coincidence constant C_(E,j) vanishes for a non-CM elliptic curve, then one prime p satisfies Q(E[j])=Q(E[pj]).		
S5-CLM-00006464	At N=4M-5 random complex measurements, the phase-retrieval injectivity probability is below 1 for every M and tends to 0 as M grows.		
S5-CLM-00006465	Every two-dimensional configuration of low convex pattern complexity is periodic.		
S5-CLM-00006466	For every r at least three, the prefix value a_r(r) equals Golomb's value G(r-1).		
S5-CLM-00006467	The two-color size Ramsey number of arbitrary star forests equals the stated sum of extremal pairwise arm-size parameters.		
S5-CLM-00006468	The stated signed quadratic form is positive on every nonzero primitive degree-i element.		
S5-CLM-00006469	One-box pivots give the stated congruence between normalized shifted Macdonald Littlewood-Richardson coefficients modulo the common hook.		
S5-CLM-00006470	The cluster-parking statistic satisfies the stated q,t-dihedral sieving identity for every dihedral element and permutation.		
S5-CLM-00006471	For GL2-type abelian surfaces with an ell-torsion point, ell lies in the stated finite set.		
S5-CLM-00006472	For n>8, primitive n-square origamis in H(4) have exactly the listed SL(2,Z)-orbits, distinguished by component, monodromy, parity, and HLK invariant.		
S5-CLM-00006473	The rational Chow group of Mbar_{g,n} is tautological through codimension ten.		
S5-CLM-00006474	Every ordered Chomp triple has at most one nonnegative fourth coordinate extending it to a P-position.		
S5-CLM-00006475	The odd-partition numerator evaluated at -1 is o(n!).		
S5-CLM-00006476	Every nontrivial K4-free graph with independence number at least n/3 satisfies λ1²+λ2²≤4m/3.		
S5-CLM-00006477	For each deficit d up to floor(binomial(n,2)/3), the coefficients of q^j t^{M-d-j} in C_n(q,t) are constant throughout d<=j<=M-2d.		
S5-CLM-00006478	Infinitely many n satisfy omega(n-k)<=k for every integer 1<=k<n.		
S5-CLM-00006479	The stated path extremal function obeys the proposed upper-bound versus Omega(n^(k+1)) dichotomy.		
S5-CLM-00006480	The coefficients c(n) have unbounded positive and unbounded negative excursions.		
S5-CLM-00006481	The stated sharp upper bound holds for the K-Hausdorff nonconvexity of Minkowski sums.		
