high	A000001	bcd76aa4	The number of groups satisfies a(i)a(j)<=a(ij) for all nonnegative i,j.	I conjecture that a(i) * a(j) <= a(i*j) for all nonnegative integers i and j.
medium	A048799	007e2380	The constants represented by A048799, A048834, A071120, and A048835 through A048838 are all irrational.	I conjecture that the constants defined in the present sequence, A048834, A071120, A048835, A048836, A048837, A048838 are irrational.
medium	A051179	f187f585	For n>7, the number of distinct prime factors of 2^(2^n)-1 strictly increases and the preceding count exceeds n.	I conjecture that, for n > 7, omega(a(n)) > omega(a(n-1)) > n.
medium	A055211	86049171	Every term of A055211 is prime.	The first 1000 terms are all prime and it is conjectured that all terms are primes.
medium	A058887	73c31436	The first prime Sierpiński number is 271129, and A058887 eventually stabilizes at it.	This prime p will likely be the first prime Sierpiński number, which is conjectured to be 271129.
medium	A059363	157d6960	Every A059363 term after the first two is conjectured to be semiprime in the big-Omega sense.	The values of A001222(a(n)) are 0,1,2,2,2,... and are conjectured to be 2 for all n > 2.
medium	A060941	2a3fdbd2	Every recursively defined descendant sequence of A060941 satisfies the stated modulus p^(3k) supercongruences for primes p at least 7.	Inductively define a family of sequences {a(i,n) : n >= 0}, i >= 1, by setting a(1,n) = a(n) and, for i >= 2, a(i,n) = [x^n] ( exp(Sum_{k >= 1} a(i-1,k)*x^k/k) )^n. We conjecture that the sequences {a(i,n) : n >= 0}, i >= 2, also satisfy the supercongruences u(n*p^k) == u(n*p^(k-1)) (mod p^(3*k)) for primes p >= 7 and positive integers n and k.
medium	A061300	022d959a	For every n other than 4, A061300(n)=A037019(n!); 4! is the sole exceptional factorial.	I conjecture that this remains true for all larger n, i.e., 4! is the only "exceptional" factorial (see A037019).
medium	A061641	a72d8642	The counting ratio for Collatz pure numbers tends to a constant near 2.311.	I conjecture that a(n)/n -> C=constant for n->oo, where C=2.311...
medium	A061652	a1e74163	No odd superperfect number exists.	It is conjectured that there are no odd superperfect numbers, in which case this coincides with A019279.
medium	A063544	5d6b7acc	Double-circle configurations minimize the number of triangulations among planar n-point sets.	The double circles are conjectured to minimize the number of triangulations, and in this case the next terms would be 203748, 674949, 2031054, 6807382, 20662980, ...
medium	A064413	12e10ee9	Almost every EKG-sequence term follows n(1+1/(3 log n)) up to o(n/log n), with prime-related terms forming the spikes.	In Lagarias-Rains-Sloane (2002), it is conjectured that almost all a(n) satisfy the asymptotic formula a(n) = n (1+ 1/(3 log n)) + o(n/log n) as n -> oo and that the exceptional terms when the sequence is a prime or 3 times a prime p produce the spikes in the sequence.
medium	A065710	4f55325e	For each fixed x, the number of digit 2's in 2^n equals x only finitely often.	I conjecture that any value x = 0, 1, 2, 3, ... occurs only a finite number of times
medium	A065744	b3768c9d	For each fixed x, the number of digit 9's in 2^n equals x only finitely often.	I conjecture that any value x = 0, 1, 2, ... occurs only a finite number of times
medium	A066357	cf8fded1	A066357: We conjecture that a(n) and C(n) have the same 2-adic valuation (checked up to n = 100).	We conjecture that a(n) and C(n) have the same 2-adic valuation (checked up to n = 100).
medium	A067191	5f67c3e6	A067191 has no terms beyond those currently listed.	I conjecture there are no further terms in this sequence
medium	A067576	0d4b8932	Every column of the shifted A067576 array is eventually a geometric progression with common ratio 2.	Row i shows the numbers m, in increasing order, such that 2^i divides binomial(2*m, m) and 2^(i+1) does not. Let T'(i, j) = 1 + T(i, j) for all i and j. Conjecture: every column of T' is eventually geometric with common ratio 2.
medium	A068875	a1c34a7a	Every zero of P(n,t), defined by powers of the generating function A(x), has real part -n/2.	If A(x)^t = 1 + 2*t*x + Sum_{n >= 2} t*P(n,t)*x^n, then we conjecture that all the zeros of the polynomial P(n,t) lie on the vertical line Re(t) = -n/2 in the complex plane.
medium	A071304	127a6f41	A071304: We conjecture that a(n+1) = a(n)*b(n+1) for n >= 1.	We conjecture that a(n+1) = a(n)*b(n+1) for n >= 1.
medium	A071306	4300302e	The GF(7) norm-one counts satisfy b(n)=7b(n-1)-7b(n-2)+49b(n-3), and A071306(n+1)=A071306(n)*b(n+1).	Let b(n) be the number of solutions to the equation Sum_{i = 1..n} x_i^2 = 1 (mod 7) with x_i in 0..6. We conjecture that b(n) = 7*b(n-1) - 7*b(n-2) + 49*b(n-3) for n >= 4 with b(1) = 2, b(2) = 8, and b(3) = 42. We also conjecture that a(n+1) = a(n)*b(n+1) for n >= 1.
medium	A071356	f2d4ace9	A071356 enumerates three stated stack-sorting preimage classes; only the equality between the last two classes is currently known.	Let s denote West's stack-sorting map, and let Av_n(tau_1, ..., tau_r) denote the set of permutations of [n] that avoid the patterns tau_1, ..., tau_r. It is conjectured that a(n) = |s^{-1}(Av_{n+1}(132, 231))| = |s^{-1}(Av_{n+1}(132, 312))| = |s^{-1}(Av_{n+1}(231, 312))|. Only the last of these equalities is known. - _Colin Defant_, Sep 16 2018
medium	A072340	5833e3d8	A072340: We conjecture that an integer is always reached.	We conjecture that an integer is always reached.
medium	A075082	37a30351	A034878 and the Jordan-Polya numbers A001013 coincide except at 2, 9, and 10.	It is conjectured that A034878 and A001013 (Jordan-Polya numbers = products of factorials) are the same sequence (except for the numbers 2, 9 and 10).
medium	A076336	0290b85a	There is no integer n for which n*2^k+1 is prime for every k.	the set S3 is empty.
medium	A078712	a8ba7158	For every prime p, A078712(p) is congruent to 1 modulo p.	Similar to the Perrin sequence A001608, I conjecture that if p is a prime then a(p) == 1 (mod p).
medium	A078900,A078901	0bc9de68	Every Fermat number is squarefree.	However, unlike the Fermat numbers (which are conjectured to be squarefree), these generalized Fermat numbers are not necessarily squarefree for k > 1.
medium	A079489	7ffffe4d	For the series-reversion-derived sequence v(n), v(n p^k) is congruent to v(n p^(k-1)) modulo p^(3k) for every prime p at least 5 and positive n,k.	Let B(x) = 1/x * series_reversion(x*A(x)). Define a sequence {v(n) : n >= 0} by setting v(n) = [x^(s*n)] B(x)^(r*n). We conjecture that the supercongruence v(n*p^k) == v(n*p^(k-1)) (mod p^(3*k)) holds for all primes p >= 5 and for all positive integers n and k. (End)
medium	A079489	a3755f69	The coefficient sequence u satisfies the stated p^(3k) congruence for every prime at least 5 and all n,k.	We conjecture that the supercongruence u(n*p^k) == u(n*p^(k-1)) (mod p^(3*k)) holds for all primes p >= 5 and for all positive integers n and k.
medium	A080101	db2b0bd0	The maximum term of A080101 is 2.	This is conjectured to be the maximum, see also A366833.
medium	A081145	f5920886	The absolute-difference sequence of the first Slater-Velez permutation is itself a permutation of the positive integers.	its absolute difference sequence (see A308007) is also a permutation.
medium	A083876	7290dbf5	For n greater than 1, A083876(n) is the least Carmichael number whose least prime factor exceeds prime(n).	Conjecture: for n > 1, a(n) is the smallest Carmichael number k with lpf(k) > prime(n).
medium	A088568	3f580a97	The Kolakoski discrepancy A088568(n) is O(log n).	It is conjectured that a(n) = O(log(n)) (see PlanetMath link). Note that for a random sequence of 1's and -1's, we would have O(sqrt(n)). - _Daniel Forgues_, Jul 10 2015
medium	A088568	b6f6e360	The Kolakoski discrepancy A088568(n) is sublinear.	It is conjectured that a(n) = o(n).
medium	A088643	ccf7d284	Every row n of A088643 is a permutation of {1,...,n}.	It is conjectured that row n is always a permutation of {1..n}. This has been verified for n <= 400000.
medium	A088995	676d7998	A088995 is conjectured to equal 10^n up to a multiplicative factor whose logarithm is O(log log n).	I conjecture that log(a(n)/10^n) = O(log log n).
medium	A089605	fb8a867b	Every positive integer eventually enters a cycle under the parity/reversal map P(m).	Let P(m) = m/2 if m is even, m + rev(m) if m is odd, where rev(m) is m's base 10 representation reversed. It is conjectured that any number k eventually cycles when P is repeatedly applied to it. Sequence gives number of steps before the cycle is reached.
medium	A092372	5290a635	The zero-loop face probability in the cylindrical O(1) model equals A092372(n)/A_HT(n)^2.	The probability that a face of the lattice on an n X infinity cylinder is surrounded by zero loops is conjectured to be given by a(n)/A_{HT}(n)^2, where A_{HT}(n) is the number of n X n half turn symmetric alternating sign matrices.
medium	A092373	1187c75f	The one-loop face probability in the cylindrical O(1) model equals A092373(n)/A_HT(n)^2.	The probability that a face of the lattice on an n X infinity cylinder is surrounded by one loop is conjectured to be given by a(n)/A_{HT}(n)^2, where A_{HT}(n) is the number of n X n half turn symmetric alternating sign matrices.
medium	A092374	03ef28dd	The two-loop face probability in the cylindrical O(1) model equals A092374(n)/A_HT(n)^2.	The probability that a face of the lattice on an n X infinity cylinder is surrounded by two loops is conjectured to be given by a(n)/A_{HT}(n)^2, where A_{HT}(n) is the number of n X n half turn symmetric alternating sign matrices.
medium	A092375	501472bb	The three-loop face probability in the cylindrical O(1) model equals A092375(n)/A_HT(n)^2.	The probability that a face of the lattice on an n X infinity cylinder is surrounded by three loops is conjectured to be given by a(n)/A_{HT}(n)^2, where A_{HT}(n) is the number of n X n half turn symmetric alternating sign matrices.
medium	A092376	b36ef6eb	The four-loop face probability in the cylindrical O(1) model equals A092376(n)/A_HT(n)^2.	The probability that a face of the lattice on an n X infinity cylinder is surrounded by four loops is conjectured to be given by a(n)/A_{HT}(n)^2, where A_{HT}(n) is the number of n X n half turn symmetric alternating sign matrices.
medium	A092377	eb04dba2	The five-loop face probability in the cylindrical O(1) model equals A092377(n)/A_HT(n)^2.	The probability that a face of the lattice on an n X infinity cylinder is surrounded by five loops is conjectured to be given by a(n)/A_{HT}(n)^2, where A_{HT}(n) is the number of n X n half turn symmetric alternating sign matrices.
medium	A092378	772fec82	The six-loop face probability in the cylindrical O(1) model equals A092378(n)/A_HT(n)^2.	The probability that a face of the lattice on an n X infinity cylinder is surrounded by six loops is conjectured to be given by a(n)/A_{HT}(n)^2, where A_{HT}(n) is the number of n X n half turn symmetric alternating sign matrices.
medium	A092379	b568c0bd	The seven-loop face probability in the cylindrical O(1) model equals A092379(n)/A_HT(n)^2.	The probability that a face of the lattice on an n X infinity cylinder is surrounded by seven loops is conjectured to be given by a(n)/A_{HT}(n)^2, where A_{HT}(n) is the number of n X n half turn symmetric alternating sign matrices.
medium	A092380	57945119	The eight-loop face probability in the cylindrical O(1) model equals A092380(n)/A_HT(n)^2.	The probability that a face of the lattice on an n X infinity cylinder is surrounded by eight loops is conjectured to be given by a(n)/A_{HT}(n)^2, where A_{HT}(n) is the number of n X n half turn symmetric alternating sign matrices.
medium	A092381	35e7be2a	The nine-loop face probability in the cylindrical O(1) model equals A092381(n)/A_HT(n)^2.	The probability that a face of the lattice on an n X infinity cylinder is surrounded by nine loops is conjectured to be given by a(n)/A_{HT}(n)^2, where A_{HT}(n) is the number of n X n half turn symmetric alternating sign matrices.
medium	A092382	552f4d76	The ten-loop face probability in the cylindrical O(1) model equals A092382(n)/A_HT(n)^2.	The probability that a face of the lattice on an n X infinity cylinder is surrounded by ten loops is conjectured to be given by a(n)/A_{HT}(n)^2, where A_{HT}(n) is the number of n X n half turn symmetric alternating sign matrices.
medium	A103885	b39c9fbc	For each fixed positive m, the subsequence b(n)=a(mn) obeys a three-term recurrence with the displayed polynomial structure and degrees.	More generally, for fixed m = 1,2,3,..., we conjecture that the sequence b(n) := a(m*n) satisfies a recurrence of the form ( Product_{k = 1..2*m} (2*m*n + k) ) * P(2*m,n)*b(n+1) + (-1)^m*( Product_{k = 1..2*m} (2*m*n - k) ) * P(2*m,-n)*b(n-1) = Q(2*m,n^2)*b(n), where the polynomials P(2*m,n) and Q(2*m,n) have degree 2*m.
medium	A105750	647eb4f0	A105750: We conjecture that the sets of type 1 and type 3 primes taken together consist of primes p == 3 (mod 4), equivalently, rational primes that remain inert in the field extension Q(sqrt(-1)) of Q.	We conjecture that the sets of type 1 and type 3 primes taken together consist of primes p == 3 (mod 4), equivalently, rational primes that remain inert in the field extension Q(sqrt(-1)) of Q.
medium	A105750,A105751	ceaaa7d9	A105750 and A105751: We conjecture that the set of type 2 primes consists of primes p == 1 (mod 4), equivalently, rational primes that split in the field extension Q(sqrt(-1)) of Q, together with the prime p = 2, which ramifies in Q(sqrt(-1)).	We conjecture that the set of type 2 primes consists of primes p == 1 (mod 4), equivalently, rational primes that split in the field extension Q(sqrt(-1)) of Q, together with the prime p = 2, which ramifies in Q(sqrt(-1)).
medium	A105751	4a3399b4	A105751: We conjecture that the set of type 3 primes consists of primes p == 3 (mod 4), equivalently, rational primes that remain inert in the field extension Q(sqrt(-1)) of Q.	We conjecture that the set of type 3 primes consists of primes p == 3 (mod 4), equivalently, rational primes that remain inert in the field extension Q(sqrt(-1)) of Q.
medium	A111027	859ddf9e	There are infinitely many Wieferich primes in base 12.	The sequence is conjectured to be infinite.
medium	A113424	e8f3894f	For p>=7, b_k(n*p^r) is congruent to b_k(n*p^(r-1)) modulo p^(3r) for every k,n,r>=1.	We conjecture that for k >= 1 the sequence defined by b_k(n) := [x^n] F(x)^(k*n) satisfies the above supercongruences for primes p >= 7.
medium	A118514	f69bc05f	The reverse-and-add-2 map is conjectured to have progressively longer cycles with every larger even component length.	It is conjectured that there are also cycles of increasing length with 8-, 10-, 12-, ... digit components.
medium	A120062	4f41fb50	Among integer-sided triangles with inradius n, the greatest possible longest side is n^4+3n^2+1.	It is conjectured that the longest possible side c of a triangle with integer sides and inradius n is given by A057721(n) = n^4 + 3*n^2 + 1.
medium	A127751	b4da087d	The parity sequence of the A127751 row sums is the first Feigenbaum symbolic sequence A035263.	Row sums A127752 mod 2 are conjectured to be first Feigenbaum symbolic sequence A035263.
medium	A133910	d6150048	n divides A133910(n) exactly for n=1 or n in A051283.	I conjecture that a(n) is divisible by n iff n is in {1} U A051283.
medium	A140100	27b41a30	The first-difference word of X is 212121 followed by the image under the stated morphism of the Tribonacci word.	It is conjectured in A305392 that the first differences of (X(n)) as a word are given by 212121 delta(x), where x is the tribonacci word x = A092782, and delta is the morphism
medium	A145354	ba16a1ae	For each m at least one prime Q and one prime P exist in the two stated subintervals around (2m+1)^2.	It is conjectured that for each m >= 1 there exist primes Q=Q(m) and P=P(m) with (2m)^2 + 1 <= Q <= (2m+1)^2 - 2m <= P <= (2m+1)^2; then set a(2m-1) = Q, a(2m) = P.
medium	A156554	0c93cc5d	For every positive r,s, the stated Legendre-polynomial coefficient sequence satisfies the preceding p^(3k) supercongruences.	More generally, if r and s are positive integers, we conjecture that the same supercongruences hold for the sequence defined by [x^(r*n)] P(s*n,(1 + x)/(1 - x)). (End)
medium	A156554	635e9c9e	The previously specified p^(3k) supercongruences extend to the stated coefficient sequences for arbitrary integer A and B.	Even more generally, we conjecture that the same supercongruences hold for the sequence defined by [x^(r*n)] (1 + x)^(A*n) * (1 - x)^(B*n) * P(s*n,(1 + x)/(1 - x)), where A and B are integers.
medium	A156695	7b96b346	Every A156695 term greater than 5 is divisible by 255.	I conjecture that all members of this sequence greater than 5 are divisible by 255.
medium	A160678	4629d65d	A160678: This sequence includes many terms but it is conjectured to be finite.	This sequence includes many terms but it is conjectured to be finite.
medium	A162763	b573e463	For elevator capacity C=3, the recursive upper bound is conjectured to equal the optimum for every n > 2C+3.	I conjecture, however, that this upper bound is sharp (i.e., yields the exact result) for all n > 2C + 3.
medium	A162764	5e880187	For elevator capacity C=4, the recursive upper bound is conjectured to equal the optimum for every n > 2C+3.	I conjecture, however, that this upper bound is sharp (i.e., yields the exact result) for all n > 2C + 3.
medium	A168147	5a3190e6	There are infinitely many primes of the form 10*n^3+1.	It is conjectured that the sequence is infinite.
medium	A168327	37edca74	There are infinitely many primes obtained by decimal concatenation 1 followed by n^3.	It is conjectured that sequence is infinite.
medium	A173419	151b41a4	If n is prime, then A173419(n)>=A173419(n-1).	Conjecture: if n is prime then a(n) >= a(n-1).
medium	A180000	cc4c854c	log(A180000(n)) = n*(1-log 2) + O(n^(1/2+epsilon)) for every epsilon>0.	It is conjectured that log a(n) ~ n(1 - log 2) + O(n^{1/2+eps}) for all eps > 0.
medium	A182514	6c9ef534	A182514: I conjecture that this sequence is finite and that the terms stated are the only members.	I conjecture that this sequence is finite and that the terms stated are the only members.
medium	A182514	832f5f0a	There are infinitely many primes satisfying the defining large consecutive-prime ratio inequality of A182514.	I conjecture the contrary: the sequence is infinite.
medium	A183069	64d60615	A183069: We conjecture that the sequence satisfies the supercongruences a(n*p^k) == a(n*p^(k-1)) ( mod p^(3*k) ) for all primes p >= 5 and positive integers n and k.	We conjecture that the sequence satisfies the supercongruences a(n*p^k) == a(n*p^(k-1)) ( mod p^(3*k) ) for all primes p >= 5 and positive integers n and k.
medium	A184423	f4de9ac1	Every recursively defined descendant sequence of A184423 satisfies the stated modulus p^(3r) supercongruences for primes p at least 5.	Inductively define a family of sequences {a(i,n) : n >= 0}, i >= 1, by setting a(1,n) = a(n) and, for i >= 2, a(i,n) = [x^n] ( exp(Sum_{k >= 1} a(i-1,k)*x^k/k) )^n. We conjecture that the sequences {a(i,n) : n >= 0}, i >= 2, also satisfy the supercongruences u(n*p^r) == u(n*p^(r-1)) (mod p^(3*r)) for primes p >= 5 and positive integers n and r.
medium	A186253	6665f8ec	For every fixed m, sufficiently late zero indices b_m(k) make m b_m(k)+m-1 prime.	For any fixed integer m>=1 define u(1)=1 and u(n)=abs(u(n-1)-gcd(u(n-1),m*n-1)). Then (b_m(k))_{k>=1} is the sequence of integers such that u(b_m(k))=0 and we conjecture that for k large enough m*b_m(k)+m-1 is a prime number.
medium	A186420	55071e1d	A186420: We conjecture that for each integer k, the sequence defined by f_k(n) = [x^n] F(x)^(k*n) satisfies the above supercongruences, where F(x) is defined above.	We conjecture that for each integer k, the sequence defined by f_k(n) = [x^n] F(x)^(k*n) satisfies the above supercongruences, where F(x) is defined above.
medium	A186420	c980e47f	A186420: We conjecture that for each integer k, the sequence defined by e_k(n) = [x^n] E(x)^(k*n) also satisfies the above supercongruences.	We conjecture that for each integer k, the sequence defined by e_k(n) = [x^n] E(x)^(k*n) also satisfies the above supercongruences.
medium	A188597	e6169027	If no odd perfect number exists, infinitely many terms of A188597 are not divisible by 7.	The number of terms not divisible by 7 is conjectured to be infinite provided no odd perfect numbers exist.
medium	A195441	4ca6b696	The Bernoulli-denominator equation specified in A195441 has exactly the nine listed solutions.	It is conjectured that S = {3, 5, 8, 9, 11, 27, 29, 35, 59} is the full set of all such solutions.
medium	A198469	bd057232	Assuming infinitely many twin primes, for each r there is N(r) such that A_r(n) is 2 or a lesser twin prime for all n>=N(r).	Then the sequence is unbounded and, in the supposition that there are infinitely many twin primes, we conjecture that there exists number N=N(r)>=2, such that for n>=N every term A_r(n) is 2 or in A001359.
medium	A206622	22edd6e6	For every integer m, the coefficients u(n)=[x^n]A(x)^(mn) satisfy the stated mod-p^(3r) congruence for primes p>=5.	Let A(x) denote the g.f. and let m be an integer. Define a sequence by u(n) = [x^n] A(x)^(m*n). We conjecture that the supercongruence u(n*p^r) == u(n*p^(r-1)) (mod p^(3*r)) holds for all positive integers n and r and all primes p >= 5. Cf. A380582. - _Peter Bala_, Jan 21 2025
medium	A211419	da1320c9	For every r, a constant K(r) clears all products of the first r odd terms below 6n in the stated quotient of A211419(n).	More generally, we conjecture that there are constants K(r), r >= 1, such that a(n) * K(r)/((6*n - 1)*(6*n - 3)*...*(6*n - (2*r - 1))) is an integer for all n. (End)
medium	A212855	a066d036	For every k at least 7, fewer distinct partition multinomial coefficients occur than there are partitions of k.	For 7 <= k <= 10, this is not true anymore; i.e., A070289(k) < A000041(k) for 7 <= k <= 10 (and we conjecture that this is the case for all k >= 7).
medium	A216368	e3006a5d	For every n>=1, A216368(n,n)=A000081(n).	Conjecture: T(n,n) = A000081(n) for n>=1.
medium	A217729,A223083,A223088	f914329e	The trajectories represented by A217729, A223083, and A223088 never close into cycles.	It is conjectured that this trajectory does not close on itself.
medium	A221671	5679ef9b	A221671(n) is asymptotic to sqrt(8*n/3).	It is conjectured that a(n) ~ sqrt(8n/3).
medium	A221858	1f12139e	The Eratosthenes-like sieve sequence A221858 is a permutation of all primes.	moreover, we conjecture that the sequence is a permutation of the sequence of all primes.
medium	A221858	4dc77504	A221858: We conjecture that every term is prime;	We conjecture that every term is prime;
medium	A225039	8e2f53b1	A225039: We conjecture that every term is prime; moreover, we conjecture that the sequence is a permutation of the sequence of all primes.	We conjecture that every term is prime; moreover, we conjecture that the sequence is a permutation of the sequence of all primes.
medium	A225093	e186f401	A225093: We conjecture that every term is prime; moreover, we conjecture that the sequence is a permutation of the sequence of all primes.	We conjecture that every term is prime; moreover, we conjecture that the sequence is a permutation of the sequence of all primes.
medium	A227281,A227284	543438e9	For every k greater than 7, the least common difference of a k-term prime arithmetic progression is k primorial.	The minimal possible difference in an AP-k is conjectured to be k# for all k > 7.
medium	A228425	18d699de	A228425: We also conjecture that any integer n > 1 can be written as x + y (x, y > 0) with p_k(x) + p_{k+1}(y) prime, if and only if k is among 3, 39, 99.	We also conjecture that any integer n > 1 can be written as x + y (x, y > 0) with p_k(x) + p_{k+1}(y) prime, if and only if k is among 3, 39, 99.
medium	A228425	9a133f94	A228425: We conjecture that the only pairs (k,m) with 2 < k <= 10 and k< m <= 100 such that any integer n > 1 can be written as x + y (x, y > 0) with p_k(x) + p_m(y) prime, are as follows:  (3,4),(3,6),(3,28),(3,46),(3,52),(3,82),(3,88),(4,7),(4,15),(4,25),(4,27),(4,37),(4,43),(4,63),(4,67),(4,97),(6,25),(6,43),(6,73),(7,10),(7,18),(7,100),(10,15),(10,19),(10,27),(10,37),(10,55),(10,75),(10,79),(10,87),(10,99).	We conjecture that the only pairs (k,m) with 2 < k <= 10 and k< m <= 100 such that any integer n > 1 can be written as x + y (x, y > 0) with p_k(x) + p_m(y) prime, are as follows:  (3,4),(3,6),(3,28),(3,46),(3,52),(3,82),(3,88),(4,7),(4,15),(4,25),(4,27),(4,37),(4,43),(4,63),(4,67),(4,97),(6,25),(6,43),(6,73),(7,10),(7,18),(7,100),(10,15),(10,19),(10,27),(10,37),(10,55),(10,75),(10,79),(10,87),(10,99).
medium	A228425	bfd903f3	The specified parity and residue families of polygonal-number pairs represent every sufficiently large n with a prime p_k(x)+p_m(y).	For example, we conjecture that the pair (k, m) works if k is among 3, 4, 6 , and m > k is not congruent to k modulo 2. For k = 5, we guess that the pair (5, m) works if m is congruent to 0 or 4 modulo 6.
medium	A229451	1a801692	For every positive m, the 1/m!-th power of the defined series A(m,x) is conjectured to have integral coefficients.	We conjecture that the expansion of A(m,x)^(1/m!) also has integer coefficients.
medium	A229452	488d639a	For every positive m, b_m(n) is integral and satisfies the preceding p^(3k) supercongruences.	More generally, for a positive integer m, set A_m(x) = exp( Sum_{n >= 1} (m*n)!/(m!*n!^m) * x^n/n ) and define a sequence b_m(n) := [x^n] A_m(x)^n for n >=1. Then we conjecture that b_m(n) is an integer sequence satisfying the same congruences. (End)
medium	A231531	262ca2f1	A231531: We conjecture that the set of type 3 primes is A002145, primes of the form 4*k + 3.	We conjecture that the set of type 3 primes is A002145, primes of the form 4*k + 3.
medium	A231531	d7315772	A231531: We conjecture that the set of type 2 primes consists of p = 2 and all primes of the form p == 1 (mod 4).	We conjecture that the set of type 2 primes consists of p = 2 and all primes of the form p == 1 (mod 4).
medium	A254077	2239e856	Whenever cp first introduces p in A254077 with c a prime power, the term two places later is conjectured always to be p.	Theorem 5, generalization of Theorem 4. If a(n) = cp is the first term having p (prime) as a factor (n >3), and as a consequence c=k^i for prime k and i>0, then a(n+2), if it exists, is either p or ku for some integer u such that ku < p. (Note that it is conjectured to be always p, and observation confirms the conjecture.)
medium	A254077	a26bfe0c	If 2p first introduces prime factor p in A254077, then the term two places later is conjectured always to be p.	Theorem 4. If a(n) = 2p is the first term having p (prime) as a factor, then a(n+2), if it exists, is either p or 2u for some integer u such that 2u < p. (Note that it is conjectured to be always p, and observation confirms the conjecture.)
medium	A261953	a8c05647	The A261953 construction attains the maximum possible number of planar points with n nearest neighbors.	We conjecture that a(n) is optimal.
medium	A262350	ce7a6c73	A262350: The number of primes that are not in this sequence is conjectured to be infinite.	The number of primes that are not in this sequence is conjectured to be infinite.
medium	A263843	05dbbd16	The coefficients b(n)=[x^n]A(x)^n satisfy b(np^k) congruent to b(np^(k-1)) modulo p^(3k) for every prime p>=3.	Let A(x) = 1 + 4*x + 23*x^2 + ... denote the o.g.f. of this sequence taken with an offset of 0. The sequence defined by b(n) := [x^n] A(x)^n for n >= 0 begins [1, 4, 62, 1084, 19982, 379504, 7347410, 144168392, 2856907662, 57044977168, 1145905776312, 23131265652092, ...]. We conjecture that the supercongruences b(n*p^k) == b(n*p^(k-1)) ( mod p^(3*k) ) hold for prime p >= 3 and all positive integers n and k.
medium	A263843	93b5d519	For positive r and integer s, the coefficient sequence b(r,s;n) satisfies the preceding p^(3k) supercongruences.	More generally, for a positive integer r and integer s, the sequence {b(r,s;n) : n >= 0} defined by b(r,s;n) := [x^(r*n)] A(x)^(s*n) is conjectured to satisfy the same supercongruences. (End)
medium	A266952	52f0764d	A266952: I conjecture that this list is finite, and probably complete.	I conjecture that this list is finite, and probably complete.
medium	A266953	74292fb4	A266953: I conjecture that this list is finite, and probably complete.	I conjecture that this list is finite, and probably complete.
medium	A271518	9a7508d9	For every nonnegative n, there is at least one ordered representation counted by A271518(n).	a(n) > 0 for all n = 0,1,2,...
medium	A279561	5d34d56e	A279561 also counts inversion sequences avoiding the patterns 021 and 120.	It is conjectured that a_n also counts those length n inversion sequences with no entries e_i, e_j, e_k (where i<j<k) such that e_i < e_j > e_k and e_i <> e_k. This is the same as the set of length n inversion sequences avoiding 021 and 120.
medium	A281181	6695406c	A281181 reduced modulo k is eventually periodic with period dividing phi(k)^2.	More generally, we conjecture that the sequence {a(n)} reduced modulo a positive integer k is eventually periodic with the period dividing phi(k)^2, where phi(n) = A000010(n). An example is given below. - _Peter Bala_, Feb 16 2026
medium	A281976	337a31c4	A281976(n) is positive for every nonnegative integer n.	I would like to offer 2400 US dollars for the first proof of my conjecture that a(n) > 0 for any nonnegative integer n.
medium	A292876	e7b6fc58	Every orbit of A039653 eventually reaches a prime fixed point.	all orbits of A039653 are conjectured to end in such a fixed point prime p = A039654(k) for any k in this orbit.
medium	A295431	9c2c2916	Both stated Gamma-defined fractional factorial ratios are integers for every n>=0.	For n >= 0, we conjecture that both a(n/2) = (6*n)!*(n/2)! / ((3*n)!*(2*n)!*(3*n/2)!) = A347854(n) and a(n/3) = (4*n)!*(n/3)! / ((2*n)!*(4*n/3)!*n!) = A347855(n) are integers, where fractional factorials are defined using the Gamma function; for example, (n/2)! := Gamma(n/2 + 1).
medium	A307110	03fa2415	The optimal maximum matching distance between the rotated grids is sqrt(5)sin(Pi/8), attainable by the described local repairs.	It is conjectured that the least possible maximum distance within pairs can be reduced to sqrt(5)*sin(Pi/8)=0.855706... (A386241), but not further, and that this can be achieved by "local repairs" of the result of the strip bijection, i.e. by reassigning the connections in groups of 4 pairs, one of which being the pair with d>0.8557... and 3 pairs in the vicinity of the violating pair, but potentially addressing points in neighbor strips. The conjecture is supported by extensive numerical results, but an announced proof by Klaus Nagel remained unpublished.
medium	A308247	da935ce2	The next six least integers not expressible as differences of prime(n)-smooth numbers have the listed values.	The next few terms are conjectured to be 158857, 681179, 2516509, 10772123, 51292187, 186323681.
medium	A328960	20a715c4	A328960: These partitions are conjectured to be precisely those that have a pair of multiset partitions such that no part of one is a submultiset of any part of the other (see A320632).	These partitions are conjectured to be precisely those that have a pair of multiset partitions such that no part of one is a submultiset of any part of the other (see A320632).
medium	A331562	b213ea9c	Every row sequence of A331562 satisfies the displayed p^(3r) supercongruences.	Row 2, the sequence of central binomial numbers A000984, satisfies the supercongruences u(n*p^r) == u(n*p^(r-1)) (mod p^(3*r)) for all primes p >= 5 and all positive integers n and r (see Meštrović, equation 39). This is also known to be true for row 3 (A103882) and row 4 (A177316). We conjecture that each row sequence of the table satisfies the same congruences. - _Peter Bala_, Oct 26 2024.
